module
Gid.1	M.1
Gid.2	M.2
Gid.3	M.2
Gid.4	M.1
Gid.5	M.2
Gid.6	M.2
Gid.7	M.2
Gid.8	M.2
Gid.9	M.1
Gid.10	M.2
Gid.11	M.2
Gid.12	M.2
Gid.13	M.2
Gid.14	M.1
Gid.15	M.3
Gid.16	M.4
Gid.17	M.2
Gid.18	M.4
Gid.19	M.3
Gid.20	M.3
Gid.21	M.3
Gid.22	M.4
Gid.23	M.4
Gid.24	M.3
Gid.25	M.3
Gid.26	M.4
Gid.27	M.4
Gid.28	M.4
Gid.29	M.2
Gid.30	M.3
Gid.31	M.3
Gid.32	M.3
Gid.33	M.4
Gid.34	M.3
Gid.35	M.3
Gid.36	M.3
Gid.37	M.3
Gid.38	M.4
Gid.39	M.3
Gid.40	M.4
Gid.41	M.4
Gid.42	M.4
Gid.43	M.3
Gid.44	M.3
Gid.45	M.3
Gid.46	M.3
Gid.47	M.3
Gid.48	M.4
Gid.49	M.2
Gid.50	M.3
Gid.51	M.3
Gid.52	M.3
Gid.53	M.2
Gid.54	M.3
Gid.55	M.1
Gid.56	M.2
Gid.57	M.3
Gid.58	M.3
Gid.59	M.2
Gid.60	M.3
Gid.61	M.1
Gid.62	M.3
Gid.63	M.3
Gid.64	M.1
Gid.65	M.3
Gid.66	M.2
Gid.67	M.3
Gid.68	M.2
Gid.69	M.3
Gid.70	M.3
Gid.71	M.2
Gid.72	M.4
Gid.73	M.3
Gid.74	M.3
Gid.75	M.2
Gid.76	M.2
Gid.77	M.3
Gid.78	M.4
Gid.79	M.3
Gid.80	M.4
Gid.81	M.3
Gid.82	M.2
Gid.83	M.3
Gid.84	M.3
Gid.85	M.3
Gid.86	M.4
Gid.87	M.3
Gid.88	M.4
Gid.89	M.3
Gid.90	M.4
Gid.91	M.4
Gid.92	M.3
Gid.93	M.3
Gid.94	M.2
Gid.95	M.2
Gid.96	M.3
Gid.97	M.3
Gid.98	M.3
Gid.99	M.3
Gid.100	M.3
Gid.101	M.3
Gid.102	M.3
Gid.103	M.3
Gid.104	M.3
Gid.105	M.3
Gid.106	M.4
