PID.600198	PID.600203	PID.600215	PID.700507	PID.700517	PID.700522	PID.700532	PID.700535	PID.700548	PID.700563	PID.700564	PID.700571	PID.700597	PID.700621	PID.700650	PID.700663	PID.700673	PID.700675	PID.700682	PID.700683	PID.700685	PID.700687	PID.700721	PID.700723	PID.700728	PID.700735	PID.700738	PID.700762	PID.700787	PID.700790	PID.700795	PID.700848	PID.700849	PID.700869	PID.700873	PID.700882	PID.700889	PID.700906	PID.700908	PID.700912	PID.700925	PID.700958	PID.700966	PID.700983	PID.700985	PID.700991	PID.701001	PID.701016	PID.701018	PID.701035	PID.701042	PID.701115	PID.701153	PID.701176	PID.701198	PID.701202	PID.701203	PID.701208	PID.701209	PID.701220	PID.701246	PID.701255	PID.701267	PID.701282	PID.701303	PID.701447	PID.701510	PID.701521	PID.701541	PID.701545	PID.701576	PID.701594	PID.701601	PID.701602	PID.701637	PID.701644	PID.701684	PID.701686	PID.701711	PID.701721	PID.701760	PID.701777	PID.701798	PID.701800	PID.701844	PID.701909	PID.701944	PID.701979	PID.701993	PID.701994	PID.702002	PID.702023	PID.702048	PID.702056	PID.702064
Gid.1	-2.98197432136623	-2.60031609964275	-1.32914614598834	-0.782550983719115	-2.46627206260202	-2.26290670469314	-0.109868749710189	-2.0177820814305	-0.804588023643664	-1.39800547237472	-0.619732569279937	0.536260341251519	-0.219297815548887	-0.753204360466474	-2.24908385838313	-0.786435451680904	-0.959054480434331	-1.22586850484483	-1.82081324578015	-1.13613066373546	-0.474009081566709	-1.24191903494137	-0.813432986341969	-2.69706475371084	-2.1033315725243	-1.79814035492242	0.597825747076449	-0.116743481555139	-1.53544752754609	-1.73404856436872	0.404480544417138	-0.467692942261933	-2.02056801958768	-1.26232003707848	-0.791144519105806	-0.277549008875728	-0.321963473708371	-0.693262377784243	-0.459369727333565	3.77242877715201	-1.16514365728424	-1.63976624976796	0.183246191140099	-1.23809399039206	0.576090825632382	-2.78928193211784	0.32292589249675	-1.19928246412256	0.432963048041672	-0.0668991306835274	-0.91504716523546	0.332603810316092	-1.41647534276217	-0.118602112973758	-4.16112079675272	-2.19511880074463	-0.71223878212722	-2.20521848863924	-2.10918391764991	-2.1648843433487	-0.565086459426805	-0.525424954660285	-0.440851778646983	-0.98595978734394	-2.19213162680506	-3.07591078854294	-0.951809466696123	-0.74630141312923	-1.31381898984604	-1.67256782054697	-0.962045873756615	-2.50277547029037	0.724409805475041	-1.38824014538938	-2.71135477947412	-1.07160664142094	-1.38276924379521	-0.780807061492825	0.312694537081767	0.968371397708798	-0.267320217600737	-3.34385104646461	-0.914622076831215	-0.0775565864279837	-0.862716122245475	-1.26679944540049	0.536324628400626	-2.36927055211075	-0.833726444864421	-1.75344124664632	-0.0642733342934885	-1.02496271505043	-1.75078918529701	-0.954473919786381	-0.863652559768261
Gid.2	5.0913737622488	6.31974886871417	7.23025938497873	6.24932005030813	4.97012777691753	5.04531286370836	6.63167604170175	5.83795342961197	5.95008729891984	5.76002991733401	6.39702814914764	4.9888319243142	3.85093829126805	4.8703231115565	4.46022101310236	6.06974152469408	5.44196224321435	5.58515314558973	6.25245533678727	5.82897327459471	4.77478774431407	3.01254827428149	4.00020854184186	5.4382292556933	4.79982495347284	6.40856955949622	5.65061739638636	5.85482622652473	5.62634769441945	6.78200004051183	5.28577866843875	5.3341331443714	4.6204094419583	5.67974990099314	5.52491701788059	6.72403700272429	6.42106798950953	5.57306541045288	4.90897293758066	8.82762747437939	6.49685868737342	6.12642617881035	6.88162228685476	5.92514345919651	6.29060714464722	4.44295814175802	6.38313021114952	4.89272467573256	6.30997158241223	6.60488494110628	5.92947661406381	5.52897528949143	5.30844046314345	5.94749601850318	7.12366974498262	6.41565222662251	6.5550709208324	6.90856784719009	6.89022632789888	6.80607992350093	6.01253042515348	5.56232132596555	5.9048543945169	6.56768076886959	5.64171432410318	6.18486147761853	3.41206216950584	7.10519686729005	5.53305566024974	7.02050825551401	3.29192319971832	5.68289213997143	5.87759641075326	3.86185643904943	6.83112277669914	6.1753607228166	5.75614577739538	4.48477194108676	5.84435856432662	5.05139399399594	5.97005405184489	5.37239135466787	5.87497223548218	8.21455298137488	5.73323578117935	7.66941036485539	4.71719420485765	5.58806426606579	5.85513309116442	5.72497793180685	5.44065601597115	5.23779390226143	4.86328647361752	6.56397634740638	4.98585958255909
Gid.3	-1.50788261574006	-1.65025823465691	-0.999301384346601	-2.9446208633321	-0.974871343861968	-2.14520755825525	-2.42520470304376	-1.89843752521985	-0.901340273476575	-1.48647987048502	-0.689315186600992	-2.11143885352639	-1.11969140321327	-2.35980759913122	-2.77325073055198	-2.3859458538455	-1.59146600781654	-0.451033403046042	-2.11345400276107	-0.575527251254471	-2.02915373368784	-2.92465541971665	-1.25528510189565	-2.56074368871509	0.391740607889294	-1.80351329850215	-0.235094551300285	-1.72511191705876	-1.07320552946972	-1.5912632110115	-1.75100455463144	-2.29733347636641	-2.39873739547843	-0.392100314470967	-2.84461332917999	-1.25607939381811	-0.869590915782547	-1.03124536949206	-1.82191171350066	4.35595181265031	-2.05560644361396	-1.31776139271285	-1.24365776390318	-3.11346710774262	0.0605753539462555	-1.56645012459654	-1.83836429238665	-0.555161219975144	-1.26422626170763	-1.45562914761003	-0.766764229105455	-1.26951639078381	-0.348222371678604	-0.285953151861837	-1.05097106965723	-0.243392116440989	-1.0904701621866	-2.7376462269046	-1.96891667678657	-0.983049851488132	-1.93465803244321	0.951968952967423	-1.57991290127436	-1.20645788967478	-1.01484113496641	-0.994468787661276	-1.6425568095043	-0.915484310296769	0.444133453521529	-0.916690750432011	-1.85739023868265	-1.33776382834971	-0.22326623664921	-2.15596165372003	1.1312192480671	-1.10798124949752	-1.53284582205556	-0.820327365303281	-2.22791007769339	-2.75348093390511	0.00923662735815456	-1.61968428093156	-1.77636589342583	-1.86253215946662	-2.67542955554696	-0.713068481901074	-2.12971977814283	-2.33214853213719	0.00630247565954867	-0.77194067028831	-1.67682660764476	-2.28230816481203	-2.56420803939695	-1.30840122354481	-1.78171879096423
Gid.4	-3.75358766449843	-3.26097115288197	-2.85449198218583	-2.11371431069053	-1.88575134168133	-3.48862829440977	-2.61793834639386	-2.07558216676898	-3.37245083840725	-2.1127427430355	-3.22760963235316	-1.72448399224103	-1.75865911733101	-2.12614433417547	-1.86893773587983	-1.83434659116085	-2.72948900208736	-3.10489330468573	-2.05385564881884	-3.41680163599495	-0.995447284451885	-3.1321696690906	-4.27834597921541	-2.04728102626435	-2.1407464466162	-2.5683567781846	-1.97987042457105	-2.83884353705547	-2.75398456114037	-2.72732402674138	-2.76425988337021	-2.76428410282007	-2.05496161715695	-1.9312060169895	-3.04842420742251	-3.21837093351712	-3.19304757807506	-2.29083427698896	-2.71479189231823	1.91954781724397	-2.42693695779449	-2.81817516827226	-1.9319462387833	-1.80666820416593	-1.97485392061764	-3.40708861000078	-2.44611810421301	-2.02324841279844	-2.89635198621955	-2.39071378533956	-3.07776533483084	-2.10966569140784	-1.77051556639219	-2.27163201459883	-1.63416761317372	-2.23588435986466	-2.56724599304424	-1.47976023434569	-1.76743397209407	-2.88570012574859	-2.68743155878638	-1.40277830058626	-3.50986541064632	-3.46735725361581	-4.27365509299473	-4.27834597921541	-2.93412142850563	-1.79680270734642	-3.21149387828273	-2.14707028089648	-4.33197776316478	-1.88763838090275	-1.01010704908599	-2.84685828249149	-1.62674094664234	-1.6112144081349	-2.62086667956384	-2.75416679398654	-2.8932474070721	-2.86332941220129	-3.10163317915025	-4.33197776316478	-1.83909532192164	-1.46357538949009	-4.33197776316479	-2.28687464110242	-2.22728058171931	-2.1775182297981	-1.53758228474862	-2.41787573974345	-2.90655633876132	-2.52252149084554	-3.33370494167849	-1.88100055369553	-2.03499533045594
Gid.5	6.49374775613082	8.0700564401152	9.46380025807471	8.49592602851949	6.35421071486297	6.78679296589685	8.87051381223279	7.49425092104285	8.30821635455789	6.67774534517434	8.78196944070191	8.03229507476811	5.94094717393212	6.92312609152383	7.38063780338999	8.59014036517163	8.59734893326048	7.97493781986181	8.98855034649302	9.03174625654244	8.11994324795021	6.28337605026833	6.41615667795966	7.07841389235622	5.55375532279315	8.1743612207088	6.43408518145292	9.44975231134849	7.49561138606753	8.08816249506548	8.30043454679608	8.24481496760638	6.53058680625163	8.39864526123757	8.12057591444345	8.82955215822787	10.1515893825106	7.74036075722542	7.60485417296304	11.5773568975396	7.48418581504457	8.51925662891322	9.83897354204134	7.94708199682755	9.15177302617143	5.89214117552433	8.89286489102882	7.72836227764387	7.70275743928097	8.80163191968367	8.25891272004774	7.67884414215171	7.16935083974138	6.83183172913411	8.61466484055786	6.41455382057231	8.63509051827852	9.02581546243766	7.72315262502709	8.79603232662682	7.95663547141845	6.99747741266093	7.19677656488762	8.50782796076163	8.42718451418122	7.74757608694587	5.8251100551195	9.04429773883151	7.38534347779472	7.74501477724016	6.04471742582615	7.75812812837272	7.80508323350189	5.28877648219545	8.77402753140588	8.17275288280826	7.81421241086931	5.83825274969817	7.99028577004365	6.39575258384291	7.09347825633693	6.54682775495223	7.56724141374939	10.6772610561118	8.27824909449225	9.89910489003454	8.29193787899589	7.64393911719012	7.83622021734437	8.73644566405576	8.82077604767245	7.86913763998043	7.85327684667781	9.22668731647628	7.52954745238198
Gid.6	3.3318991087981	3.48623184155826	3.83648056466842	2.35204251744646	0.593567425053058	0.983941471619231	-0.652463206605263	3.01419301047029	1.5469776609414	1.57509456703744	2.44175662243109	2.07781296201987	-0.309665938086316	0.155628684633484	1.36626131559819	0.797088391438497	2.81854127306247	3.77389197167991	2.24355083111378	1.29750416991457	-0.536227401042686	0.541581136479203	2.56353943197261	1.82967095338615	2.69382167384476	2.81804104394869	-0.356826112039529	1.34220943727684	0.505676171700502	3.25550720713583	1.77614644969181	1.60995661027543	1.11255264092499	1.90809824619008	2.96347172085535	2.56109434812267	1.9344391375858	0.358127389692301	2.10896942704059	6.11491523634818	4.49019375234527	1.45413862692954	2.54475686724114	2.13145303924579	2.89874299343053	2.29439806745877	3.09804147622862	3.38153944928773	1.77255594008607	4.06826730097294	3.35222735323506	1.7722390183048	2.8784205090407	4.49825027799077	3.88270651511937	4.89038341463388	3.39890971000797	2.46694035924667	3.25671831364249	4.64628685491391	2.10582236562595	3.97067326848089	3.95570274826795	2.84204329802932	5.35348091978975	3.39376787699984	4.1319433355088	2.70196153717354	1.10188546583843	2.3336128517176	-1.67013836218733	3.98617159200746	2.40120970592121	1.1211319633953	3.50868251097479	3.85028776457002	2.14931217985036	1.2824386391634	2.62599535091758	2.48071747945276	3.1881747016926	1.35833448358523	2.25779097497938	1.67651841368658	2.02164687662526	4.09128142054228	3.32091373204236	2.23171132451559	0.124455788575536	3.16075022029969	2.36750431852988	2.90075362471262	1.41573417491966	4.19966414677381	2.83024337601364
Gid.7	1.4838148166472	2.23175128523083	2.12607616448201	1.25470816695602	0.645093831817849	0.729728824032923	0.839167700641276	0.502604731216145	0.540158259032715	0.822781311435279	2.15813272898817	1.52501331369284	-0.070230992343445	1.34850112158996	0.246703879975831	1.36057750081929	1.87147141867791	1.03691010829657	1.32012819556638	1.16303622108622	0.532229891426554	1.48542038593583	0.791807003190217	0.329733659370657	1.0800416793297	0.695924393287254	1.51997912097741	1.22397030270902	1.53299307421018	1.69192549169262	2.33120603151815	1.39558053233754	1.3894984661285	1.20463150477012	1.33635156308601	1.55586808048991	0.998780091028268	1.58704686361857	0.696866227591479	4.5833578782274	1.60949296319524	2.06546486884253	1.57939390402052	1.52674116222685	1.02290300775431	1.67165506453629	2.56261979849721	2.36739306381981	1.10899582305434	2.40770529070634	2.28845728682494	1.26247750743295	1.82325851935772	1.89173615181236	2.38617082036142	2.9673436793123	1.08215783902085	1.41250363593842	1.22932428088914	1.76521579184114	2.06224707314938	2.29623035942489	3.0674097325908	2.58712723094608	2.72084593592682	2.006861842446	2.04659351028909	1.29034136710604	1.48554484795925	1.36730076291453	2.12791089736155	1.3246791810966	2.51188341516097	1.20263038634188	2.15929528108398	1.45900503686542	1.77963360360415	0.992457604155806	0.833242711186406	1.89414173068498	0.587495965876304	0.691998576363032	0.851625226513408	2.47106908027659	1.34859193938089	1.70648483776624	1.34886227902579	1.23813039489542	1.48186292325121	0.944981593777335	1.57196668048461	0.892787744691276	1.41276542204228	2.88217402650116	2.77582148603219
Gid.8	5.38127386430257	7.1115203682921	7.380444714019	6.16667979578327	4.89140024969833	3.75529463834919	4.17849763040126	5.32132864808156	4.17132486622071	5.31438492384299	6.0742571723562	4.39831824597724	3.00718275832344	3.24269231124509	3.12421642743674	4.79915975012023	6.09216189316572	6.05230026161773	6.39847855651242	4.43206798872701	4.71832907348772	3.65024850167454	4.95899665182493	4.8117795242728	4.41367568437024	5.41894164026834	3.41706082124314	3.65706467649472	4.60165943037599	5.2900080340039	5.28677917346274	4.2691024436191	4.15808267785069	4.64502281591934	5.06589201309954	4.78772677386714	5.50542813283347	5.15240739926315	4.47628455742978	8.68646074570079	6.03735040220507	5.41632679858284	5.91585573342204	5.18523382004962	4.79738455221852	6.40913388027684	6.80971274857816	7.23087138342931	4.10138503537421	7.12193911248	6.39216487958672	4.79044017446342	6.48249154484488	5.9364378983846	7.47234494599314	7.33973201051841	5.8203577368971	6.06269587226475	5.66374913632525	7.43896203263008	4.71570804300723	7.17165164712346	8.61122963198547	7.74023971250672	7.09520634282998	7.22612009202657	6.00152878948878	6.48624437985689	6.08490968654448	7.49475483311699	5.48414248235852	5.41474561166353	6.69059512589012	3.13177667995815	7.15767056107388	6.88566534897912	4.28227419716357	4.96350314599549	5.28939689912062	3.81645579407979	7.18521190281576	4.58441576756174	4.07661061757341	6.51251609162686	4.61979089978855	6.73655352062114	5.17283703246826	4.18708998816943	5.23174332248412	4.56970056471295	5.99776547435509	4.66070470002041	4.939603241204	6.78181641147323	5.49220557935754
Gid.9	0.896654217739614	-0.527148284923892	-0.52586668929329	-0.485536361052267	-0.228431640724554	-1.00826351560566	-1.29763361278247	-0.993478522898338	0.0740726707789654	-1.03253874540058	-0.0452842197216969	-0.16447419919089	-1.19532319802963	-0.449891591001862	-2.17642549585667	-1.86190257276782	-0.52943678225939	-0.148222223127751	-1.12977127313265	-0.109991777438212	-0.369204583560877	-0.188520413880077	0.819731733853605	-1.95385309505333	-0.145873557252453	-1.58376219417632	-0.601849441212555	-0.172414247078178	-1.17352621145534	-0.98067984476867	-0.349626128243669	-0.950853409241373	-0.866521239913997	-0.628158376058937	-0.915912935688167	-0.296115189186007	-1.20909353327528	-0.260391486365884	-1.12466345276711	4.0866700082893	-1.52731604663966	-1.09741511619326	-1.02322069119978	-0.011832254121367	-1.1225835218062	-0.725595829658412	-1.29751978683615	-2.51680894522838	-0.362966502040883	-0.566700763669387	-0.186725406118228	-1.49434655762909	-1.58618668238949	0.0652686996265299	-0.417945269419108	-0.326106280609678	-0.543186514033983	-0.814902540087339	-0.112737278589355	-0.53924266437181	-0.604082731943145	-0.82143550254027	0.107757965127146	-0.619672226264062	-1.06047835847507	-1.40943976035204	-1.07278852879444	-0.291902615262373	-0.756682493917023	-2.27066917529164	-0.567449451427269	-0.751327123790639	-0.489171351415162	-0.771447353661905	-1.24008471056965	-1.36522421266211	-0.118316630596339	-0.539398364521138	0.903583453741206	-0.29470943545691	0.97344749077982	-1.25000331851613	0.482977609518722	-0.939842201144866	-0.817273563490824	0.148441897721114	-1.18510778484993	-0.936872355036051	0.0305372573162563	0.676667928357912	-1.15323433875887	-0.49600451524751	-0.352932279877356	-1.60682716670851	-1.18552863824495
Gid.10	4.59626064475243	5.24496293899403	6.18126436450852	4.12706381101651	-0.0103012961919271	2.83447082571573	2.99043196254741	4.04822732246076	2.43236994690434	3.1758560609105	5.16502199067466	3.49667810665499	0.802314594286354	2.12438712336885	2.95273126978297	2.63860105198642	3.83861411782493	5.23223013523019	4.12464421151753	3.33391715114725	1.66713339883069	0.494955307987571	3.66045115562931	3.90127374656022	3.45872206038969	4.83258462337291	1.15872467777602	1.74309146835308	3.05047509146302	4.08087836517074	3.64342769953925	3.73473971947459	2.67269411819003	2.85428563607144	3.99399974872515	3.60278535157596	4.64454142119001	4.01631092587701	2.79357866720922	4.73720394813107	4.62847729867485	4.10737601993221	4.19370241315724	3.55187677834172	3.28921227434171	5.07974127544436	4.54573002118151	5.90774536836653	2.97181415595093	4.93259076259498	4.82108154864385	3.09964662912713	5.13354258650363	4.74635877916379	6.60243663055742	5.68110498460621	4.62261841863191	4.44562093344837	5.16365739244712	5.95705033119414	3.83362432118263	5.07427444655056	5.78790314210388	6.35038885903689	4.15960581482324	5.0740913157203	3.99307875806075	4.09410949127975	2.24765282177287	4.7746876032289	1.14328496519261	4.20232645313349	2.76502814221558	1.00828732944138	5.67495126993313	5.34733395320814	3.54666116603556	2.00886521101313	3.67258788262557	2.80991032825845	4.64095848081683	3.3035522286664	3.88906158574966	5.51473839458473	3.46430309173665	5.11861976313394	3.7739796456986	4.10016194706032	2.30731024194072	5.00085706178831	5.15000620147313	4.3032589311016	2.44402041757214	5.53534009110524	4.53579978865344
